A-238	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-238-LFB4843_L4_DSG.bam	S4_F_A
A-338	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-338-LFB4830_L4_DSG.bam	S4_F_A
A-403	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-403-LFB4870_L4_DSG.bam	S4_F_A
A-661	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-661-LFC0840_L4_DSG.bam	S4_F_A
O-180	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-180-LFB4811_L4_DSG.bam	S4_F_O
O-193	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-193-LFB4833_L4_DSG.bam	S4_F_O
O-211	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-211-LFB4836_L4_DSG.bam	S4_F_O
O-746	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-746-LFB4826_L4_DSG.bam	S4_F_O
A-314	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-314-LFB4840_L4_DSG.bam	S4_M_A
A-327	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-327-LFB4823_L4_DSG.bam	S4_M_A
A-342	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-342-LFB4829_L4_DSG.bam	S4_M_A
A-451	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-451-LFC0843_L4_DSG.bam	S4_M_A
O-223	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-223-LFB4839_L4_DSG.bam	S4_M_O
O-773	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-773-LFB4820_L4_DSG.bam	S4_M_O
O-783	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-783-LFB4818_L4_DSG.bam	S4_M_O
O-815	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-815-LFB4815_L4_DSG.bam	S4_M_O